id,date,place,info,lat,lng,level
55,2014.06.21 06:25,金沢市野田町,野田町地内で１頭目撃,36.5350814,136.6687217,3
56,2014.06.23 07:00,金沢市辰巳町,辰巳町地内で１頭目撃,36.5111687,136.7007022,3
57,2014.06.24 15:10,加賀市栄谷町,栄谷町ト１（有）北陸プレカット付近,36.307801,136.3983873,3
58,2014.06.26 19:00,白山市阿手町地内,県道スノーシェード付近（小熊）,36.2951799,136.5751156,3
59,2014.06.27 18:25,金沢市三小牛町,三小牛町地内でクマ１頭目撃,36.5196085,136.6707355,3
60,2014.06.28 09:10,金沢市御所町,【人身事故】男性がクマに頭部と臀部をかまれ、負傷,36.5819815,136.6949792,1
61,2014.06.28 19:35,小松市おびし町,市道おびし台大通り線中配水ポンプ場付近,36.3380209,136.4473786,3
62,2014.06.28 19:36,小松市岩上町,岩上町から尾小屋町方面へ１〜２００ｍ向かった所を南西方向へ,36.3275499,136.5269078,3
63,2014.06.29 06:45,金沢市辰巳町,辰巳町ちないでクマ１頭目撃,36.5111687,136.7007022,3
64,2014.06.30 07:06,小松市東山町,国道416号東山町勘定峠堤付近を東南方向に移動,36.3747979,136.4795919,3
65,2014.06.30 13:45,金沢市浅川町,浅川町地内でクマ１頭目撃,36.5192066,136.7070458,3
66,2014.07.01 12:15,金沢市浅川町,浅川町地内でクマ１頭目撃,36.5192066,136.7070458,3
67,2014.07.01 14:30,白山市桑島地内,赤谷第一トンネル付近（体長１５０㎝ぐらい）,36.1959611,136.6256761,3
68,2014.07.02 07:15,金沢市三小牛町,三小牛町でクマ１頭目撃,36.5196085,136.6707355,3
69,2014.07.02 09:40,金沢市大桑町,大桑町地内で１頭目撃,36.5265493,136.6871206,3
70,2014.07.02 13:00,金沢市大桑町,大桑町地内で１頭目撃,36.5265493,136.6871206,3
71,2014.07.02 15:20,金沢市銚子町,銚子町地内で２頭（親子）目撃,36.5230475,136.7026354,3
72,2014.07.03 18:30,白山市白山町,林業試験場樹木公園で親子グマを目撃,36.4322169,136.6336478,3
73,2014.07.03 08:10,金沢市田上町,田上町地内で１頭目撃,36.543161,136.6918255,3
74,2014.07.03 21:00,羽咋市千石町地内,国道４１５号沿いを歩くクマを目撃,36.8803387,136.8514999,3
75,2014.07.04 07:00,白山市曽谷町,乙釖神社周辺で目撃,36.4899583,136.6173899,2
76,2014.07.04 13:30,金沢市上辰巳町,上辰巳町地内で１頭目撃,36.514957,136.7016243,3
77,2014.07.05 05:40,金沢市舘町,館町地内で１頭目撃,36.5247111,136.7015383,2
78,2014.07.05 10:43,小松市大野町,県道金平・寺井線中土合大橋大野町側で子グマを目撃,36.373013,136.5010844,3
79,2014.07.05 14:30,金沢市山川町,山川町地内で１頭目撃,36.5066745,136.6861401,3
80,2014.07.08 06:50,金沢市舘山町,舘山町地内で１頭目撃,36.5245054,136.6939532,3
81,2014.07.08 11:50,金沢市末町,末町地内で１頭目撃,36.5192588,136.6873651,3
82,2014.07.08 14:50,金沢市上辰巳町,上辰巳町地内で１頭目撃,36.514957,136.7016243,3
83,2014.07.08 16:50,白山市出合町地内,出合町と別宮出町の間を流れる大日川で目撃,36.3615083,136.5972752,3
84,2014.07.09 07:25,金沢市末町,末町地内で１頭目撃,36.5192588,136.6873651,3
85,2014.07.09 15:10,金沢市末町,末町地内で１頭目撃,36.5192588,136.6873651,3
86,2014.07.09 17:20,金沢市土清水町,土清水町地内で１頭目撃,36.5258163,136.6949281,3
87,2014.07.09 19:00,金沢市中山町,中山町地内で１頭目撃,36.536371,136.7196224,3
88,2014.07.10 16:30,金沢市東荒屋町,東荒屋町地内で１頭目撃,36.5118772,136.7119256,3
89,2014.07.10 16:40,金沢市二俣町,二俣町地内で１頭目撃,36.558195,136.761956,3
90,2014.07.11 10:00,白山市荒谷地内,尾口石産近くの国道を横断するクマを目撃,36.2752792,136.6820343,3
91,2014.07.11 11:30,金沢市大桑町,大桑町地内で１頭目撃,36.5265493,136.6871206,3
92,2014.07.11 16:05,白山市東二口地内,ダム手前のスノーシェード付近で目撃（小熊）,36.266672,136.637827,3
